id;user_id;name;s_phone;flat_no;apartment_name;area;landmark;city;pincode;lat;lng;created_at;updated_at;is_active
1;28263;however but;circa;likely aluminium diversity;barring unsightly down;before excluding rosy;premium where exhibition;Fort Theronmouth;13826;29232.55;30195.13;2024-03-03T00:58:18;2024-03-03T07:33:06;true
2;20944;heifer blindly;among every;displease;barring wherever boo;whose whoa although;range;Erickview;16146;6358.06;3591.75;2024-03-02T12:36:54;2024-03-02T22:03:44;true
3;27781;surprisingly till study;extinguish;pfft;awkwardly like finally;declutter fast italicize;flicker;Georgetteburgh;2787;28290.83;445.24;2024-03-02T09:40:22;2024-03-02T12:13:08;false
4;1160;slowly hmph;hmph;rundown;oof forenenst;jealously;meaningfully absent;East Tianna;9648;23097.18;25111.63;2024-03-02T20:32:03;2024-03-02T09:16:45;true
5;25051;exactly gosh;round exterminate;hail reasonable;trunk;regal sternly;huzzah finally recoup;East Jessica;2560;2732.93;26586.24;2024-03-02T20:50:37;2024-03-02T16:47:25;true
6;9866;because ordinary door;seemingly;supposing sunroom;before apropos;fertilize duffel um;gee;Stephonbury;7735;6410;14846.53;2024-03-03T02:08:59;2024-03-02T11:54:26;true
7;20930;gadzooks;figure;duel;alongside courage howard;kick;fully throbbing;East Casimerstad;30724;17447.12;32657.66;2024-03-03T05:02:10;2024-03-03T06:58:11;false
8;20251;lazily before;whoa;psst;so;crisp strictly kooky;actually uncork honest;West Griffinberg;6283;10551.66;3096.29;2024-03-02T17:13:53;2024-03-02T14:01:58;false
9;751;sugary towel;clerk whenever;hike;qua;obediently before;modulo bestir;Shanahancester;23045;7300.54;13068.61;2024-03-02T14:56:38;2024-03-02T10:11:16;true
10;7883;force over atop;agonise;alternative;boo;dishonest or phooey;yuck;Creminview;23328;31055.41;469.97;2024-03-03T05:26:33;2024-03-03T05:05:36;true
